"","road_fit_all","road_fit_all","road_fit_all","road_fit_all"
"1",39.7938333333333,38.2488333333333,43.756,46.5708333333333
"2",41.1565,41.1395,47.406,49.9573333333333
"3",42.2458333333333,41.2655,46.351,51.7843333333333
"4",43.2461666666667,42.5925,47.2803333333333,51.8993333333333
"5",43.9921666666667,44.438,47.8905,52.3663333333333
"6",44.7718333333333,44.6433333333333,48.0558333333333,52.9526666666667
"7",44.676,42.1343333333333,48.6045,51.6701666666667
"8",44.9396666666667,42.314,48.1411666666667,53.4305
"9",39.5011666666667,39.0995,48.0938333333333,51.2583333333333
"10",39.0431666666667,36.2646666666667,43.088,48.0213333333333
"11",39.6268333333333,35.9101666666667,38.7361666666667,42.7081666666667
"12",36.7511666666667,33.7981666666667,33.1721666666667,41.471
"13",35.9271666666667,31.982,40.1221666666667,42.2638333333333
"14",36.9268333333333,33.4668333333333,43.4786666666667,44.84
"15",33.9923333333333,33.1396666666667,37.136,38.0958333333333
"16",34.7191666666667,34.4066666666667,40.741,39.4508333333333
"17",35.084,33.4563333333333,40.4853333333333,40.0851666666667
"18",35.327,33.8785,40.9455,41.8851666666667
"19",36.0193333333333,35.3281666666667,41.0061666666667,40.072
"20",36.8245,35.3995,40.5881666666667,40.1426666666667
"21",36.5173333333333,33.815,39.9733333333333,42.0673333333333
"22",35.2085,33.3836666666667,36.6641666666667,38.2753333333333
"23",35.691,33.8665,37.4166666666667,37.91
"24",37.4096666666667,35.405,41.1805,40.7405
"25",40.3231666666667,39.5346666666667,43.1563333333333,46.1016666666667
"26",42.8396666666667,40.2781666666667,44.7453333333333,48.5191666666667
"27",43.5833333333333,42.463,46.0156666666667,49.1346666666667
"28",44.377,43.345,47.5011666666667,51.1281666666667
"29",44.213,44.236,48.63,51.8913333333333
"30",46.0625,44.349,48.5163333333333,52.4356666666667
"31",43.402,43.2126666666667,46.6028333333333,50.2223333333333
"32",46.395,40.6023333333333,47.7601666666667,49.5556666666667
"33",43.0461666666667,39.9143333333333,45.187,48.6091666666667
"34",41.7145,36.4586666666667,39.8183333333333,44.9363333333333
"35",39.2851666666667,34.4538333333333,22.9686666666667,34.1876666666667
"36",36.9428333333333,34.6925,13.9046666666667,35.4746666666667
"37",36.1371666666667,33.9123333333333,15.8771666666667,40.3873333333333
"38",37.8988333333333,33.0878333333333,33.2948333333333,43.4186666666667
"39",36.9296666666667,34.7565,37.8023333333333,40.1443333333333
"40",36.2718333333333,32.9065,17.8955,38.4803333333333
"41",36.5878333333333,31.648,23.6788333333333,37.7055
"42",35.1758333333333,35.3945,31.1163333333333,39.4336666666667
"43",35.0551666666667,35.9043333333333,31.7196666666667,38.6238333333333
"44",35.4276666666667,36.5955,26.3656666666667,38.045
"45",35.9951666666667,34.325,37.0698333333333,38.9638333333333
"46",36.0963333333333,33.4378333333333,33.9601666666667,36.5843333333333
"47",35.2491666666667,34.2165,28.8955,38.1296666666667
"48",36.8376666666667,35.042,40.85,41.713
"49",39.832,40.108,43.8168333333333,46.1915
"50",40.8863333333333,41.2693333333333,44.6623333333333,48.9831666666667
"51",42.9411666666667,41.9921666666667,45.4855,50.4936666666667
"52",42.9791666666667,41.4076666666667,47.7696666666667,51.2951666666667
"53",44.704,44.356,47.8635,51.9468333333333
"54",44.1313333333333,43.0921666666667,49.9816666666667,53.3221666666667
"55",45.1441666666667,38.9998333333333,47.1095,49.1103333333333
"56",44.9965,40.1691666666667,45.319,48.772
"57",31.0638333333333,37.813,17.912,37.4618333333333
"58",33.4445,34.368,26.807,38.4955
"59",35.3111666666667,34.0933333333333,29.9115,36.9566666666667
"60",31.264,33.368,35.2108333333333,38.9441666666667
"61",35.2348333333333,33.9095,40.6713333333333,40.1888333333333
"62",37.946,34.9958333333333,42.3808333333333,41.6753333333333
"63",36.2931666666667,33.284,40.179,40.2726666666667
"64",34.4568333333333,31.7256666666667,38.925,36.81
"65",34.2033333333333,34.7011666666667,41.6198333333333,35.3055
