"","road_pre_all","road_pre_all","road_pre_all","road_pre_all"
"1",38.6580353515892,39.7571824930135,42.4300695817218,46.0409959866957
"2",40.6803053082715,39.9913514544143,43.9342537831025,48.9532760866529
"3",41.8528020677417,41.7354867566608,45.6077244318515,50.866915955372
"4",43.3894219881164,42.6488446402082,46.7154502625081,51.6984906062732
"5",43.5126190203217,43.0541663381061,47.0717966450646,52.146457281441
"6",44.2099325600634,41.9077955480107,47.9050390284215,51.1376827115225
"7",44.1321624346533,40.3819033058393,48.0483421831429,49.9509841316272
"8",43.802403512884,39.4651840146258,45.7400527523721,48.5587972296827
"9",37.1069454696126,36.7412114490161,24.6451620119419,38.9459376622094
"10",33.3005279217478,33.9307143324681,30.419366791969,40.8208575490877
"11",34.8880524855144,34.9992132941377,16.9884020768489,34.190494820771
"12",35.4026903909118,34.3050194613187,19.7044185878261,37.5903695616837
"13",34.8634494506134,33.8123186556557,27.7257043080834,37.3812670132741
"14",37.432246587748,33.5455825088469,41.3336435952328,40.3084801389034
"15",37.1159137745504,33.3441284347122,41.5039769500333,40.907334145386
"16",34.4987626754766,33.6125350601176,38.7087980451846,35.9363627396017
"17",33.8288468959972,32.436187639927,34.1063059714522,34.727796742946
"18",34.9265660123076,32.0605558636127,38.8724589062929,31.0602795383494
"19",34.2258462755267,33.4370872581893,35.0001766494477,35.2916382275525
"20",33.0393481212123,36.5101722047247,40.7249207542609,11.7849682968063
"21",33.4769965015114,35.0785086929948,39.4670485742131,29.2491836357612
"22",34.7806094042747,34.2956423143267,36.5074466188633,37.4633399619287
"23",35.0410832823148,34.605380205243,38.9934891120839,34.9933761324885
"24",36.542040628231,35.7925156861785,40.6578165650205,40.7574356581505
"25",38.5952860784354,38.45270490394,41.8982057058934,45.4811404309778
"26",40.6051528962538,39.7259503809268,44.7608740820415,48.7400757302666
"27",42.2586253512229,42.113048709608,45.6254873018597,50.5203936479354
"28",43.6590472363608,42.8392021465851,47.1217110331812,51.4894564696579
"29",42.841405334543,43.3084800539445,47.1154641783863,51.9720178349593
"30",44.0786045226134,43.5584725096818,48.0546519529338,51.4305795956117
"31",43.6599051015395,39.9096864890108,48.6473760178524,50.0792417292684
"32",44.6985799056895,40.1153335462083,45.8359472464329,48.626265429094
"33",36.8828033794961,36.3777093214036,23.4733018236667,38.1245298349788
"34",33.2161547388214,33.86981548919,27.2041801658164,39.3471835742028
"35",35.4525529052765,34.8899401759922,18.1503946343194,34.0783167287777
"36",36.0250913690175,33.6771408455243,18.139763966049,36.9140817041211
"37",34.6825584041606,33.9151279036071,29.169189642571,36.5234096642844
"38",37.329805542037,33.5713215821879,41.2125635783197,40.3179239305366
"39",36.4297734941886,33.6073951103143,40.8620806608027,40.4301204514657
"40",34.5976523709536,33.8401293096408,37.404283518502,36.0967851545679
"41",33.5415632382831,31.2763311025455,33.9481129116495,35.4296211101682
"42",34.238783724506,30.7745633873534,34.8232214390984,31.8789006505338
"43",33.8563417977193,32.0877812001781,35.5279500652101,35.4737224467722
"44",33.3365828345722,37.0637610195785,39.8033934037869,19.3792927995046
"45",34.5801428290839,35.1227355085243,39.108064397625,31.5565762344074
"46",34.8248024981075,34.561457657564,35.1490656438049,37.1646321464611
"47",35.8696447235266,34.8659782111716,38.3881371370212,36.0451973718933
"48",36.4859807973697,35.9606681603545,40.8868579183732,40.8072354481097
"49",39.0984889721895,39.5003127459158,40.5481365709512,44.6818822875977
"50",40.4909897167101,39.9662225895821,43.4963527530339,48.3945220044054
"51",42.2613430819472,41.9596152927914,44.7443274376756,50.16087887443
"52",43.479475094794,42.5761440107779,46.87605954498,51.3630498433145
"53",42.8027912716671,43.0779764486107,46.8939425325837,51.6965891185829
"54",43.9349663097125,43.2687872592235,47.8419298975801,51.2318373323078
"55",43.7365943578876,40.2811389675991,48.0190844647222,50.5590194651811
"56",45.2900282144662,39.3398334950133,47.0866245219124,49.0012486770247
"57",38.8203883912074,36.8613672412572,32.0909079746265,40.5193022768766
"58",35.3570844020718,35.3692438760487,37.2929143550801,38.836184214431
"59",36.1023851979531,34.7633137271784,18.4819130562855,33.2422116470439
"60",35.4618523030716,33.6288371985729,17.5852024525299,34.6930359026414
"61",34.8009638901809,34.47851662465,26.9097964097293,34.5822352203998
"62",36.5856916759828,34.7539821230289,37.3190815801126,39.3767529977831
"63",36.1232375125505,33.7633172749192,39.3688635259229,38.5375089278818
"64",34.465057075313,35.0232843128051,36.7024583910292,36.0789423953398
"65",33.6243872476311,31.4129490404193,31.5334445265237,37.4455344945994
"66",33.7872027544634,29.0733854059391,34.5480273279999,34.0344246989509
"67",34.173520916758,31.0566638007984,39.3901754621679,36.2220062402324
"68",33.7500024546966,37.2205980353917,39.1317722049182,33.1651275899538
"69",35.0412806507189,35.4699124012895,39.244330048872,36.4459606832208
"70",35.1857633657021,34.3599866752989,36.534276538204,35.968672504265
"71",35.9043940942922,35.0447228132164,37.432895031932,37.4534084668871
"72",36.2751253716007,35.7536523298791,39.8987866605015,39.6275356447232
"73",38.7459580564786,38.8467142378267,43.1690902309112,47.3777277607934
"74",40.2480957433028,40.2292744074282,45.3742536463981,44.3588434657332
"75",41.7349929313021,41.0434036360787,45.7974374992116,46.7778656222598
"76",42.429265682479,42.6739922905517,47.1073924257358,47.7521240657678
"77",43.2162965093404,43.7811469079707,47.1884716439546,49.1976334778615
"78",44.266903711453,43.8599379868843,49.6291069457222,49.7642591193816
"79",44.2875135164899,40.2150666814932,48.1941732295668,48.7534089457836
"80",45.7706145351051,39.0242196165547,47.921381057555,49.8921572739898
